Protocol Risk,SubDomain Count,TLD Length,URL Length,?,-,%,=,@,!,^,&,#,Digit Count,Content Length,Redirects,Frames,IFrames,Tags,Phishing
1,2,3,6,0,0,0,0,0,0,0,0,0,1,269956,111,0,1,840,0
1,2,3,6,1,1,1,1,1,1,1,1,1,6,93852,8,0,0,63,1
1,2,3,6,0,0,0,0,0,0,0,0,0,0,135735,453,0,0,1892,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,45407,49,0,0,336,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,1565073,218,0,0,1208,0
1,2,3,6,1,1,1,1,1,1,1,1,1,2,93834,8,0,0,63,1
1,2,3,6,0,0,0,0,0,0,0,0,0,0,58605,77,0,0,495,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,398883,89,0,0,1601,0
1,2,2,6,0,0,0,0,0,0,0,0,0,0,59935,162,0,0,786,0
1,2,2,6,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,286162,95,0,0,684,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,702857,196,0,0,4799,0
1,2,3,6,1,1,1,1,1,1,1,1,1,6,10670,0,0,0,39,1
1,2,4,6,0,0,0,0,0,0,0,0,0,9,684549,0,0,0,1,1
1,2,2,6,0,0,0,0,0,0,0,0,0,6,10670,0,0,0,39,1
1,2,3,6,0,0,0,0,0,0,0,0,0,0,153,0,0,0,8,0
1,2,2,6,1,1,1,1,1,1,1,1,1,6,10670,0,0,0,39,1
1,2,3,6,0,0,0,0,0,0,0,0,0,0,1229,1,0,0,14,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,139136,95,0,0,758,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,25493,32,0,0,254,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,115792,72,0,0,541,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,155445,239,0,0,978,0
1,2,2,6,0,0,0,0,0,0,0,0,0,0,75287,130,0,0,731,0
1,2,2,6,0,0,0,0,0,0,0,0,0,0,25365,2,0,0,285,0
1,2,2,6,0,0,0,0,0,0,0,0,0,0,40677,85,0,0,475,0
1,2,2,6,0,0,0,0,0,0,0,0,0,0,61545,85,0,0,563,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,10498,11,0,0,94,0
1,2,2,6,0,0,0,0,0,0,0,0,0,0,3509,5,0,0,69,0
1,2,3,6,1,1,1,1,1,1,1,1,1,6,10670,0,0,0,39,1
1,2,4,6,0,0,0,0,0,0,0,0,0,5,145182,2,0,0,61,1
1,2,2,6,1,1,1,1,1,1,1,1,1,0,29689,173,0,0,502,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,42467,76,0,0,461,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,146,0,0,0,8,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,114410,82,0,0,1441,0
1,2,3,6,0,0,0,0,0,0,0,0,0,2,186,0,0,0,4,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,84701,361,0,0,1071,0
1,2,4,6,0,0,0,0,0,0,0,0,0,5,4391,2,0,0,43,1
1,2,2,6,0,0,0,0,0,0,0,0,0,0,19854,51,0,3,259,0
1,2,2,6,0,0,0,0,0,0,0,0,0,0,24408,46,0,0,324,0
1,2,3,6,1,1,1,1,1,1,1,1,1,3,634269,0,0,0,1,1
1,2,3,6,0,0,0,0,0,0,0,0,0,0,282404,222,0,0,1367,0
1,2,3,6,1,1,1,1,1,1,1,1,1,6,104785,0,0,0,1,1
1,2,3,6,0,0,0,0,0,0,0,0,0,0,22906,91,0,0,404,0
1,2,4,6,0,0,0,0,0,0,0,0,0,5,4391,2,0,0,43,1
1,2,3,6,0,0,0,0,0,0,0,0,0,0,146,0,0,0,8,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,406610,1,0,0,594,0
1,2,2,6,1,1,1,1,1,1,1,1,1,0,27027,98,0,0,406,0
