,URL,Phishing,Protocol Risk,SubDomain Count,TLD Length,URL Length,?,-,%,=,@,!,^,&,#,Digit Count,Content Length,Redirects,Frames,IFrames,Tags
932,disney.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,669868,211,0,0,1512
934,thecalculatorsite.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,305184,313,0,0,970
935,vidiq.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,335877,106,0,1,836
936,meteored.com.ar,0,1,4,2,6,0,0,0,0,0,0,0,0,0,0,151078,95,0,1,816
937,indiapost.gov.in,0,1,4,2,6,0,0,0,0,0,0,0,0,0,0,125767,104,0,0,694
938,gmail.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,588185,6,0,0,171
939,nhk.or.jp,0,1,4,2,6,0,0,0,0,0,0,0,0,0,0,6160,1,0,0,40
940,latest-hairstyles.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,110959,144,0,0,515
941,zdnet.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,579736,309,0,0,2026
942,capitalone.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,748102,77,0,0,657
943,cdiscount.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,7202,0,0,0,41
944,bls.gov,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,1321,2,0,0,15
945,google.co.th,0,1,4,2,6,0,0,0,0,0,0,0,0,0,0,20505,28,0,0,94
946,transfermarkt.com.tr,0,1,4,2,6,0,0,0,0,0,0,0,0,0,0,919,0,0,0,13
947,powerappsportals.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,42139,0,0,0,32
948,stanford.edu,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,110434,107,0,1,639
949,line.me,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,225468,52,0,1,793
951,tiempo.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,182016,134,0,1,939
952,smartprix.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,112158,202,0,0,925
953,ew.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,483875,531,0,0,3456
954,medscape.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,109411,253,0,2,993
955,radiotimes.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,769729,304,0,1,2672
956,iuwashplus.or.id,0,1,4,2,6,0,0,0,0,0,0,0,0,0,0,154690,95,0,0,378
